question,answer,source,language,category
How much coverage does American Amicable Senior Choice offer?,"American Amicable Senior Choice® offers face amounts from $2,500 up to $50,000 for applicants ages 50–85. Coverage is available in specific amounts: $2,500, $3,000, $4,000, $5,000, $6,000, $7,000, $8,000, $9,000, $10,000, $15,000, $20,000, $25,000, $30,000, $35,000, $40,000, $45,000, and $50,000. Contact Julie at 402-440-5438 to get an exact quote for your age and health profile.",American Amicable agent portal — form 3080 Senior Choice Quoting Sheets — April 21 2026,en,carrier_product
How much coverage does American Amicable Golden Solution offer?,"American Amicable Golden Solution® offers face amounts from $2,500 up to $25,000 for applicants ages 50–85. Coverage is available in specific amounts: $2,500, $3,000, $4,000, $5,000, $6,000, $7,000, $8,000, $9,000, $10,000, $11,000, $12,000, $13,000, $14,000, $15,000, $18,000, $20,000, and $25,000. Contact Julie at 402-440-5438 to get an exact quote for your age and health profile.",American Amicable agent portal — form 9521 Golden Solution Quoting Sheets — April 21 2026,en,carrier_product
What is the difference between Senior Choice and Golden Solution at American Amicable?,"Both Senior Choice® and Golden Solution® are whole life final expense policies from American Amicable for ages 50–85 in Nebraska. The main difference is coverage amount: Senior Choice® goes up to $50,000 while Golden Solution® goes up to $25,000. Both offer the same three benefit structures (Immediate, Graded, and Return of Premium) and the same available riders. If you need more than $25,000 in coverage, Senior Choice® is the better fit.",American Amicable agent portal — forms 3080 and 9521 — April 21 2026,en,carrier_product
What benefit plan types does American Amicable Senior Choice offer?,"American Amicable Senior Choice® comes in three benefit structures: (1) Immediate Death Benefit — full coverage from day one, no waiting period for qualifying applicants (Policy Form No. 9767); (2) Graded Death Benefit — reduced benefit during the first years for natural causes, full benefit after the waiting period (Policy Form No. 9644); (3) Return of Premium Death Benefit — if death occurs during the initial period, premiums paid are returned (Policy Form No. 9645). Which plan you qualify for depends on your health profile.",American Amicable agent portal — form 3080 Senior Choice Quoting Sheets — April 21 2026,en,carrier_product
What benefit plan types does American Amicable Golden Solution offer?,"American Amicable Golden Solution® comes in three benefit structures: (1) Immediate Death Benefit — full coverage from day one, no waiting period for qualifying applicants (Policy Form No. 9772); (2) Graded Death Benefit — reduced benefit during the first years for natural causes (Policy Form No. 9465); (3) Return of Premium Death Benefit — if death occurs during the initial period, premiums paid are returned (Policy Form No. 9471). Which plan you qualify for depends on your health profile.",American Amicable agent portal — form 9521 Golden Solution Quoting Sheets — April 21 2026,en,carrier_product
What is a Return of Premium Death Benefit plan?,"A Return of Premium Death Benefit plan is a type of modified benefit final expense policy. If the insured passes away during the initial benefit period (typically the first 2 years) from natural causes, the policy pays back all premiums paid — not just a percentage. After the initial period ends, the full face amount is paid. This is a middle option between a fully graded plan (which pays only a percentage of premiums) and an immediate benefit plan (which pays full face amount from day one). American Amicable offers this option on both Senior Choice® and Golden Solution®.",American Amicable agent portal — forms 3080 and 9521 — April 21 2026,en,general_education
Does American Amicable Senior Choice offer immediate coverage with no waiting period?,"Yes. The American Amicable Senior Choice® Immediate Death Benefit plan (Policy Form No. 9767) provides full coverage from day one — no waiting period for qualifying applicants. Not everyone will qualify for the immediate benefit plan; those with more significant health history may be offered the Graded or Return of Premium plan instead. Call Julie at 402-440-5438 to find out which plan you qualify for.",American Amicable agent portal — form 3080 Senior Choice Quoting Sheets — April 21 2026,en,underwriting
Does American Amicable Golden Solution offer immediate coverage with no waiting period?,"Yes. The American Amicable Golden Solution® Immediate Death Benefit plan (Policy Form No. 9772) provides full coverage from day one — no waiting period for qualifying applicants. Those with more complex health histories may be offered the Graded or Return of Premium plan instead. Call Julie at 402-440-5438 to find out which plan you qualify for.",American Amicable agent portal — form 9521 Golden Solution Quoting Sheets — April 21 2026,en,underwriting
What companies underwrite American Amicable Golden Solution?,"American Amicable Golden Solution® is underwritten by five affiliated companies in the American-Amicable Group: American-Amicable Life Insurance Company of Texas, iA American Life Insurance Company, Occidental Life Insurance Company of North Carolina, Pioneer American Insurance Company, and Pioneer Security Life Insurance Company. Your policy will be issued by whichever company is licensed in your state.",American Amicable agent portal — form 9521 Golden Solution Quoting Sheets — April 21 2026,en,carrier_product
¿Cuánta cobertura ofrece American Amicable Senior Choice?,"American Amicable Senior Choice® ofrece montos de cobertura desde $2,500 hasta $50,000 para solicitantes de 50 a 85 años. Los montos disponibles incluyen: $2,500, $3,000, $4,000, $5,000, $6,000, $7,000, $8,000, $9,000, $10,000, $15,000, $20,000, $25,000, $30,000, $35,000, $40,000, $45,000 y $50,000. Llame a Julie al 402-440-5438 para obtener una cotización exacta para su edad y perfil de salud.",American Amicable agent portal — form 3080 Senior Choice Quoting Sheets — April 21 2026,es,carrier_product
¿Cuánta cobertura ofrece American Amicable Golden Solution?,"American Amicable Golden Solution® ofrece montos de cobertura desde $2,500 hasta $25,000 para solicitantes de 50 a 85 años. Los montos disponibles incluyen: $2,500, $3,000, $4,000, $5,000, $6,000, $7,000, $8,000, $9,000, $10,000, $11,000, $12,000, $13,000, $14,000, $15,000, $18,000, $20,000 y $25,000. Llame a Julie al 402-440-5438 para obtener una cotización exacta.",American Amicable agent portal — form 9521 Golden Solution Quoting Sheets — April 21 2026,es,carrier_product
¿Cuál es la diferencia entre Senior Choice y Golden Solution de American Amicable?,"Ambos, Senior Choice® y Golden Solution®, son pólizas de vida entera para gastos finales de American Amicable para personas de 50 a 85 años en Nebraska. La principal diferencia es el monto de cobertura: Senior Choice® cubre hasta $50,000 mientras que Golden Solution® cubre hasta $25,000. Ambos ofrecen las mismas tres estructuras de beneficio (Inmediato, Graduado y Devolución de Prima) y los mismos riders disponibles.",American Amicable agent portal — forms 3080 and 9521 — April 21 2026,es,carrier_product
¿Qué tipos de planes ofrece American Amicable Senior Choice?,"American Amicable Senior Choice® ofrece tres estructuras de beneficio: (1) Beneficio por Muerte Inmediato — cobertura completa desde el primer día, sin período de espera para solicitantes calificados; (2) Beneficio por Muerte Graduado — beneficio reducido durante los primeros años por causas naturales, beneficio completo después del período de espera; (3) Beneficio por Muerte con Devolución de Prima — si el asegurado fallece durante el período inicial, se devuelven las primas pagadas. El plan que usted califica depende de su perfil de salud.",American Amicable agent portal — form 3080 Senior Choice Quoting Sheets — April 21 2026,es,carrier_product
