question,answer,locale,topic
What life insurance does Americo offer through Mejor Vida?,"Mejor Vida Insurance is appointed with Americo Financial Life and Annuity Insurance Company. Products include Eagle Select simplified-issue whole life for final expenses, AdvantageWL permanent whole life, Instant Decision indexed universal life, Instant Decision term (including cash-back UL, continuation, and Payment Protector), and fixed/indexed annuities (Elite 5 and Platinum Assure Series). Availability depends on age, health, and state. See the licenses page for where Mejor Vida can write business. Quotes are run in the carrier tools — figures on this site are not a bindable offer.",en,americo
¿Qué seguros de Americo ofrece Mejor Vida?,"Mejor Vida Seguros está nombrada con Americo Financial Life and Annuity Insurance Company. Incluye Eagle Select (vida entera simplificada para gastos finales), AdvantageWL (vida entera permanente), Instant Decision IUL (vida universal indexada), temporal Instant Decision (incluye UL con devolución de prima, continuation y Payment Protector) y anualidades fijas/indexadas (Elite 5 y Platinum Assure Series). La disponibilidad depende de edad, salud y estado. Consulte la página de licencias para ver dónde puede emitir Mejor Vida. Las cotizaciones se hacen en las herramientas de la aseguradora.",es,americo
What is Americo Eagle Select final expense?,"Eagle Select is Americo’s simplified-issue whole life for funeral and other final expenses. There is no medical exam. Applicants answer health questions and the carrier reviews databases. Three tiers (Eagle Select 1, 2, and 3) match the health profile automatically. Typical issue ages are 40–85 (some nicotine classes and tier 3 stop at 75). Face amounts start at $5,000 and can go up to $50,000 on tiers 1–2 at younger ages (lower caps at older ages and on tier 3, which maxes at $25,000). There is a $40 annual policy fee. Approval is not guaranteed.",en,americo
¿Qué es Eagle Select de Americo para gastos finales?,"Eagle Select es la vida entera de emisión simplificada de Americo para funeral y otros gastos finales. No hay examen médico. El solicitante responde preguntas de salud y la aseguradora revisa bases de datos. Tres niveles (Eagle Select 1, 2 y 3) se ajustan al perfil de salud. Edades típicas 40–85 (algunas clases de nicotina y el nivel 3 llegan hasta 75). Montos desde $5,000 hasta $50,000 en niveles 1–2 a edades más jóvenes (tope más bajo a más edad y $25,000 en el nivel 3). Hay un cargo anual de póliza de $40. La aprobación no está garantizada.",es,americo
Does Americo Eagle Select require a medical exam?,No medical exam is required for Eagle Select when the applicant qualifies. Underwriting uses health questions plus database review (for example prescription and MIB). The eApplication typically returns a decision in minutes. Approval is not guaranteed — Mejor Vida Insurance walks you through what fits your health answers.,en,americo
¿Eagle Select de Americo requiere examen médico?,No se requiere examen médico para Eagle Select si el solicitante califica. La suscripción usa preguntas de salud y revisión de bases de datos (por ejemplo recetas y MIB). La solicitud electrónica suele dar una decisión en minutos. La aprobación no está garantizada; Mejor Vida Seguros le orienta según sus respuestas de salud.,es,americo
What is the difference between Eagle Select 1 2 and 3?,"Eagle Select 1 and 2 generally pay a level death benefit for life if you qualify. Tier 2 is for applicants who do not qualify for tier 1 (for example certain combinations of heart disease, diabetes, stroke/TIA, or nicotine with those conditions). Eagle Select 3 is a graded plan for issue ages 40–75 with faces up to $25,000: years 1–2 typically return premiums plus interest rather than the full face for natural death; year 3 and after pays the scheduled face. Accidental death can pay the face during the graded period. Mejor Vida matches the tier the carrier offers — you do not pick a cheaper graded plan if you qualify for level.",en,americo
¿Cuál es la diferencia entre Eagle Select 1 2 y 3?,"Eagle Select 1 y 2 generalmente pagan un beneficio nivelado de por vida si califica. El nivel 2 es para quien no califica al 1 (por ejemplo ciertas combinaciones de corazón, diabetes, derrame/AIT o nicotina con esas condiciones). Eagle Select 3 es un plan gradual para edades 40–75 hasta $25,000: en años 1–2 suele devolver primas más interés en vez del monto completo por muerte natural; desde el año 3 paga el monto programado. La muerte accidental puede pagar el monto durante el período gradual. Mejor Vida usa el nivel que ofrezca la aseguradora.",es,americo
What is Americo Quit Smoking Advantage?,"On Eagle Select 1 and 2, nicotine users can receive non-nicotine premium rates for the first three policy years. The policy is still issued as a nicotine policy. Before the third anniversary, if the insured proves they have been nicotine-free for 12 consecutive months, the non-nicotine rates and face amount can stay level. If they do not quit, the default is to keep the same premium and reduce the death benefit in year 4; they can instead choose a higher premium to keep the original face. Quit Smoking Advantage is not on Eagle Select 3. Nicotine includes cigarettes, cigars, chew, patches, gum, e-cigarettes, and vape devices.",en,americo
¿Qué es Quit Smoking Advantage de Americo?,"En Eagle Select 1 y 2, quienes usan nicotina pueden pagar tarifas de no nicotina los primeros tres años. La póliza se emite como nicotina. Antes del tercer aniversario, si prueban 12 meses seguidos sin nicotina, pueden conservar tarifa y monto. Si no dejan de fumar, lo predeterminado es la misma prima y un beneficio menor desde el año 4; pueden elegir prima más alta para conservar el monto. No aplica a Eagle Select 3. Nicotina incluye cigarrillos, cigarros, tabaco de mascar, parches, chicle, cigarrillos electrónicos y vapeadores.",es,americo
What riders come with Americo Eagle Select?,"On Eagle Select 1 and 2, an accelerated death benefit for qualifying terminal illness is included at no extra premium (a fee and lien apply if used; typical advance cap is $20,000). Optional riders: accidental death benefit equal to the face, and child/grandchild term (units of $1,000, typical max $5,000 per child, expires at age 25). Eagle Select 3 generally does not include the accelerated or accidental death riders (California has a special accidental rider). Child/grandchild term can still apply. Details are in the policy Mejor Vida delivers.",en,americo
¿Qué anexos tiene Eagle Select de Americo?,"En Eagle Select 1 y 2, el beneficio acelerado por enfermedad terminal que califique va incluido sin prima extra (si se usa hay cargo y gravamen; el anticipo típico no supera $20,000). Anexos opcionales: muerte accidental igual al monto, y temporal para hijos/nietos (unidades de $1,000, máximo típico $5,000 por niño, hasta los 25 años). El nivel 3 generalmente no incluye acelerado ni muerte accidental (California tiene un anexo accidental especial). El temporal para hijos/nietos puede aplicar. Los detalles están en la póliza.",es,americo
What is Americo AdvantageWL?,"AdvantageWL is permanent whole life from Americo: level premiums and death benefit, cash value, coverage for life if premiums are paid. Issue ages 0–75. Minimum face is typically $15,000 for children 0–17 and $25,000 for adults 18–75. It can complement a final-expense or mortgage sale when a larger permanent amount is needed. Underwriting can be non-medical at lower amounts and younger ages; larger amounts may need labs or an exam. An accelerated benefit for qualifying terminal illness is included. Optional riders include accidental death, children’s term, and waiver of premium.",en,americo
¿Qué es AdvantageWL de Americo?,"AdvantageWL es vida entera permanente de Americo: primas y beneficio nivelados, valor en efectivo y cobertura de por vida si se pagan las primas. Edades 0–75. Monto mínimo típico $15,000 para niños 0–17 y $25,000 para adultos 18–75. Puede complementar gastos finales o hipoteca cuando se necesita un monto permanente mayor. A montos más bajos y edades más jóvenes suele ser sin examen; montos altos pueden pedir laboratorios o examen. Incluye beneficio acelerado por enfermedad terminal que califique. Anexos opcionales: muerte accidental, temporal para hijos y exención de prima.",es,americo
What is Americo Instant Decision IUL?,"Instant Decision IUL is indexed universal life with simplified underwriting and an instant electronic application. Issue ages 18–70. Face amounts typically $50,000–$450,000 with no medical exam in that range. Cash value can be credited using S&P 500 point-to-point options (participation rate or cap) plus a declared interest account. Living benefit riders for qualifying critical, chronic, or terminal illness are included at no extra premium. Using a living benefit typically ends the policy — it is not a small partial payout. Illustrated values are not guarantees. Mejor Vida reviews a full illustration before anyone signs.",en,americo
