Symbol,Hold_Start,Hold_End,Hold_Days,Avg_Buy_Price,Avg_Sell_Price,PnL,Pct_Return,Position_Status,Earnings_During_Hold,Earnings_Date_During_Hold
ABAT,2026-01-12,2026-01-30,18,0.0,0.0,0.0,,Closed,No,
ABBV,2026-02-23,2026-03-13,18,0.0,0.0,0.0,,Closed,No,
ACDC,2026-01-08,,121,0.0,,0.0,,Open,Yes,2026-05-07
ACN,2025-12-03,2026-01-29,57,0.0,0.0,0.0,,Closed,No,
ADBE,2025-12-11,2026-03-10,89,0.0,0.0,0.0,,Closed,No,
ADMA,2025-11-24,2026-01-02,39,0.0,0.0,0.0,,Closed,No,
AEHR,2026-01-13,2026-03-13,59,0.0,0.0,0.0,,Closed,No,
AEO,2025-11-20,2025-11-20,0,0.0,0.0,0.0,,Closed,No,
AESI,2026-03-11,2026-04-06,26,0.0,0.0,0.0,,Closed,No,
AEVA,2025-12-08,2026-03-12,94,0.0,0.0,0.0,,Closed,No,
AFRM,2025-12-16,2026-01-14,29,0.0,0.0,0.0,,Closed,No,
ALAB,2025-12-01,2026-01-29,59,0.0,0.0,0.0,,Closed,No,
ALGM,2026-01-08,2026-02-18,41,0.0,0.0,0.0,,Closed,No,
ALK,2026-02-06,2026-02-12,6,0.0,0.0,0.0,,Closed,No,
ALT,2025-11-24,2025-12-16,22,0.0,0.0,0.0,,Closed,No,
ALTS,2026-01-16,2026-02-05,20,0.0,0.0,0.0,,Closed,No,
AMBA,2025-11-12,2025-11-13,1,0.0,0.0,0.0,,Closed,No,
AMC,2026-04-10,,29,0.0,,0.0,,Open,Yes,2026-05-05
AMD,2026-01-02,2026-01-05,3,0.0,0.0,0.0,,Closed,No,
AMPX,2026-01-27,2026-05-07,100,0.0,0.0,0.0,,Closed,No,
AMSC,2026-02-11,2026-03-26,43,0.0,0.0,0.0,,Open,No,
AMT,2026-02-12,2026-03-12,28,0.0,0.0,0.0,,Closed,No,
ANET,2026-04-10,2026-05-07,27,0.0,0.0,0.0,,Closed,No,
ANNA,2026-03-06,2026-03-10,4,0.0,0.0,0.0,,Closed,No,
ANVS,2025-11-20,2025-12-08,18,0.0,0.0,0.0,,Closed,No,
APLE,2025-12-15,2026-01-27,43,0.0,0.0,0.0,,Closed,No,
APO,2025-12-09,2026-01-07,29,0.0,0.0,0.0,,Closed,No,
ARM,2026-03-20,,50,0.0,,0.0,,Open,No,
ARVN,2025-11-10,2025-12-16,36,0.0,0.0,0.0,,Closed,No,
ASAN,2025-12-03,2026-03-10,97,0.0,0.0,0.0,,Closed,No,
ASH,2025-12-01,2026-02-17,78,0.0,0.0,0.0,,Closed,No,
ASML,2026-03-11,2026-03-26,15,0.0,0.0,0.0,,Closed,No,
AUTL,2025-12-04,2026-01-09,36,0.0,0.0,0.0,,Closed,No,
AVGO,2026-03-09,2026-03-13,4,0.0,0.0,0.0,,Open,No,
AXTI,2026-04-06,,33,0.0,,0.0,,Open,No,
BA,2025-12-19,2026-01-27,39,0.0,0.0,0.0,,Closed,No,
