question,answer,source,language,category
What final expense products does Mutual of Omaha offer?,"Mutual of Omaha offers Living Promise® Whole Life Insurance — a simplified issue whole life policy designed specifically for final expense and burial coverage. It comes in two plans: the Level Benefit Plan (ages 45–85, $2,000–$50,000) and the Graded Benefit Plan (ages 45–80, $2,000–$20,000). No medical exam is required.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
What is Mutual of Omaha Living Promise?,Living Promise® Whole Life is Mutual of Omaha's final expense insurance product. It is a simplified issue whole life policy — no medical exam required. It offers lifelong coverage with premiums that never increase and a death benefit that never decreases. The Level Benefit Plan covers ages 45–85 for $2,000–$50,000. The Graded Benefit Plan covers ages 45–80 for $2,000–$20,000.,Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
Does Mutual of Omaha require a medical exam?,No. Mutual of Omaha's Living Promise® Whole Life is simplified issue — no medical exam is required. Approval is based on answers to health questions on the application. There is no blood draw and no doctor visit required.,Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,underwriting
What are the age limits for Mutual of Omaha final expense?,"The Level Benefit Plan is available for applicants ages 45–85. The Graded Benefit Plan is available for applicants ages 45–80. Both plans are available to Nebraska residents.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,underwriting
How much coverage can I get from Mutual of Omaha?,The Living Promise® Level Benefit Plan offers coverage from $2,000 up to $50,000. The Graded Benefit Plan offers $2,000 up to $20,000. The right amount depends on your final expense needs — contact Julie at 402-440-5438 for a free quote.,Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
Does Mutual of Omaha Living Promise have a waiting period?,"The Level Benefit Plan does not have a standard waiting period — qualified applicants receive full death benefit coverage from day one. The Graded Benefit Plan has a graded death benefit period for death from natural causes during the first years of the policy. During the graded period, the policy pays a return of premiums plus interest rather than the full face amount. Accidental death typically pays the full benefit from day one on all plans.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,underwriting
What riders does Mutual of Omaha Living Promise Level Benefit include?,"The Level Benefit Plan includes the Accelerated Death Rider (ADR) and Accelerated Death Benefit Rider (ADBR). These riders allow early access to the death benefit if the insured is diagnosed with a qualifying terminal illness. The Graded Benefit Plan does not include riders.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
What is the policy fee for Mutual of Omaha Living Promise?,"The Level Benefit Plan has a $36.00 per year policy fee. The Graded Benefit Plan has a $12.00 per year policy fee. These are in addition to the base premium.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
Is Mutual of Omaha available in Nebraska?,"Yes. Mutual of Omaha is available in Nebraska. Both the Level Benefit and Graded Benefit Living Promise® plans are available to Nebraska residents. Note: The Graded Benefit Plan is NOT available in Arkansas, Montana, or North Carolina, but Nebraska is covered.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,carrier_product
What are Mutual of Omaha's underwriting classes for Living Promise?,"The Level Benefit Plan has two underwriting classes: Standard Tobacco and Standard Nontobacco. Tobacco vs. non-tobacco status affects the premium rate. The Graded Benefit Plan has a single Standard class with no tobacco distinction.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,en,underwriting
What is Assurity Life Insurance?,"Assurity Life Insurance Company is a life insurance carrier headquartered in Lincoln, Nebraska. They offer whole life insurance including final expense coverage. Assurity has served Nebraskans for generations and is a Nebraska-based company, which makes them a trusted local option for final expense coverage.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
Is Assurity a Nebraska company?,"Yes. Assurity Life Insurance Company is headquartered in Lincoln, Nebraska. As a Nebraska-based company, they are deeply familiar with Nebraska residents and have a long history of serving the local community.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
What ages can get coverage from Assurity?,"Assurity whole life insurance is available from age 15 days old up to age 85. This wide age range means coverage is available for most seniors seeking final expense protection in Nebraska.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
Does Assurity require a medical exam?,"No. Assurity uses accelerated underwriting — no medical exam is required for qualifying amounts. For applicants ages 66–85, Assurity offers no-exam approval for up to $100,000 in coverage through their accelerated underwriting program. Approval is based on health question answers and electronic database checks.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,underwriting
What are Assurity's underwriting classes?,"Assurity offers three underwriting classifications: Preferred Plus (best rates, tobacco-free 12+ months required, optimal health), Preferred (good health, minor history acceptable), and Standard (broader acceptance, more health history allowed). The class you qualify for affects your premium rate.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,underwriting
What conditions affect Assurity underwriting?,"The following medical conditions may require additional information from Assurity's underwriting department: AIDS/HIV, Multiple Sclerosis, Cancer, Heart disease, Chronic pulmonary disease (COPD/emphysema), Parkinson's disease, Kidney disease, Stroke, and Bipolar disorder. Having one of these conditions does not automatically mean you are declined — contact Julie at 402-440-5438 to discuss your options.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,underwriting
What is accelerated underwriting at Assurity?,Assurity's accelerated underwriting (AUW) allows applicants to get approved without a medical exam for up to $100,000 in coverage — even for applicants ages 66–85. The process uses electronic checks including MIB (Medical Information Bureau) pharmacy records and MVR (motor vehicle records) in addition to health question answers.,Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,underwriting
Does Assurity offer living benefits?,"Yes. Assurity whole life policies include a built-in Accelerated Death Benefit Rider for critical, chronic, and terminal illness. This allows the policyholder to access a portion of the death benefit early if diagnosed with a qualifying illness — at no extra cost on qualifying policies.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
What is the minimum face amount for Assurity?,"Assurity whole life insurance starts at $10,000 in face amount. Maximum amounts vary by age and underwriting class. Contact Julie at 402-440-5438 for a personalized quote.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
Does Assurity have Spanish materials?,"Yes. Assurity offers Spanish-language brochures, materials, and sales resources through their Agent Center. Mejor Vida Insurance (Julie) serves Spanish-speaking clients and has access to these materials.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,en,carrier_product
What final expense products does American Amicable offer in Nebraska?,"American Amicable offers two whole life final expense products in Nebraska for applicants ages 50–85: Senior Choice® and Golden Solution®. Both are simplified issue whole life policies — no medical exam required. Both include living benefit riders and are available with Spanish-language materials. Social Security premium draft alignment is available on both products.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
What is American Amicable Senior Choice?,"Senior Choice® is a whole life final expense insurance product from American Amicable for applicants ages 50–85 in Nebraska. It is a simplified issue policy — no medical exam required. Available riders include the Terminal Illness Accelerated Benefit Rider, Confined Care Rider, Grandchild Rider, and Nursing Home Waiver of Premium Rider. Spanish materials are available. Premiums can be aligned with your Social Security payment date.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
What is American Amicable Golden Solution?,"Golden Solution® is a whole life final expense insurance product from American Amicable for applicants ages 50–85 in Nebraska. Like Senior Choice®, it is simplified issue with no medical exam required. Available riders include the Terminal Illness Accelerated Benefit Rider, Confined Care Rider, Grandchild Rider, and Nursing Home Waiver of Premium Rider. Spanish materials are available.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
Does American Amicable require a medical exam?,"No. American Amicable's Senior Choice® and Golden Solution® use a simplified issue application — no medical exam required. Approval is based on answers to health questions. For complex health histories, agents can request a risk assessment from underwriting before submitting the application.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,underwriting
What ages can apply for American Amicable final expense?,"American Amicable Senior Choice® and Golden Solution® are available for applicants ages 50–85 in Nebraska. For applicants under 50, American Amicable also offers Family Choice® and Family Solution® (ages 0–49).",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
Can I draft my American Amicable premium on my Social Security date?,"Yes. American Amicable can align your premium draft with your Social Security payment date. When completing the application, indicate your preferred Social Security draft date. Options include payments received on the 1st, 3rd, 2nd Wednesday, 3rd Wednesday, or 4th Wednesday of the month.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
